"","Species","Family","Order","Superorder","habitat","vertical","terrestriality","thermo","feeding","diet","max.length","type of length"
"847","Scyliorhinus capensis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","122","TL"
"848","Scyliorhinus cervigoni","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","fish","76","TL"
"849","Scyliorhinus comoroensis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","46","TL"
"850","Scyliorhinus haeckelii","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","57","TL"
"851","Scyliorhinus hesperius","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","47","TL"
"852","Scyliorhinus meadi","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","76","TL"
"853","Scyliorhinus retifer","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","59","TL"
"854","Scyliorhinus stellaris","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","162","TL"
"855","Scyliorhinus torazame","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","78","TL"
"856","Scyliorhinus torrei","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","32","TL"
"857","Scylliogaleus quecketti","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","102","TL"
"858","Scymnodalatias albicauda","Somniosidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","NA","111","TL"
"859","Scymnodalatias garricki","Somniosidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","NA","80","TL"
"860","Scymnodalatias oligodon","Somniosidae","Squaliformes","Selachii","offshore","pelagic","no","ecto","macropredator","NA","26","TL"
"861","Scymnodalatias sherwoodi","Somniosidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts","85","TL"
"862","Scymnodon macracanthus","Somniosidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","170","TL"
"863","Scymnodon ringens","Somniosidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","110","TL"
"864","Sinobatis borneensis","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","fish","35","TL"
"865","Sinobatis bulbicauda","Anacanthobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","56","TL"
"866","Sinobatis caerulea","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","68","TL"
"867","Sinobatis filicauda","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","55","TL"
"868","Sinobatis melanosoma","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","60","TL"
"869","Somniosus antarcticus","Somniosidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish/high verts","600","TL"
"870","Somniosus longus","Somniosidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","150","TL"
"871","Somniosus microcephalus","Somniosidae","Squaliformes","Selachii","shelf/slope","benthopelagic","brackish","ecto","macropredator","inverts/fish/high verts","756","TL"
"872","Somniosus pacificus","Somniosidae","Squaliformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish/high verts","700","TL"
"873","Somniosus rostratus","Somniosidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","143","TL"
"874","Sphyrna corona","Sphyrnidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","92","TL"
"875","Sphyrna lewini","Sphyrnidae","Carcharhiniformes","Selachii","all","pelagic","brackish","ecto","macropredator","inverts/fish","430","TL"
"876","Sphyrna media","Sphyrnidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","150","TL"
"877","Sphyrna mokarran","Sphyrnidae","Carcharhiniformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","610","TL"
"878","Sphyrna tiburo","Sphyrnidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","150","TL"
"879","Sphyrna tudes","Sphyrnidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","150","TL"
"880","Sphyrna zygaena","Sphyrnidae","Carcharhiniformes","Selachii","all","pelagic","brackish","ecto","macropredator","inverts/fish","400","TL"
"881","Spiniraja whitleyi","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","200","TL"
"882","Squaliolus aliae","Dalatiidae","Squaliformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","24","TL"
"883","Squaliolus laticaudus","Dalatiidae","Squaliformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","28","TL"
"884","Squalus acanthias","Squalidae","Squaliformes","Selachii","all","benthopelagic","brackish","ecto","macropredator","inverts/fish","200","TL"
"885","Squalus albifrons","Squalidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","NA","86","TL"
"886","Squalus altipinnis","Squalidae","Squaliformes","Selachii","slope","pelagic","no","ecto","macropredator","NA","71","TL"
"887","Squalus blainville","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","brackish","ecto","macropredator","inverts/fish","92","TL"
"888","Squalus brevirostris","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","59","TL"
"889","Squalus bucephalus","Squalidae","Squaliformes","Selachii","slope","pelagic","no","ecto","macropredator","inverts/fish","90","TL"
"890","Squalus chloroculus","Squalidae","Squaliformes","Selachii","slope","benthic","no","ecto","macropredator","NA","99","TL"
"891","Squalus crassispinus","Squalidae","Squaliformes","Selachii","shelf/slope","pelagic","no","ecto","macropredator","NA","67","TL"
"892","Squalus cubensis","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","NA","110","TL"
"893","Squalus edmundsi","Squalidae","Squaliformes","Selachii","slope","pelagic","no","ecto","macropredator","inverts/fish","115","TL"
"894","Squalus formosus","Squalidae","Squaliformes","Selachii","shelf/slope","pelagic","no","ecto","macropredator","NA","81","TL"
"895","Squalus grahami","Squalidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","73","TL"
"896","Squalus griffini","Squalidae","Squaliformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","110","TL"
"897","Squalus hemipinnis","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","78","TL"
"898","Squalus japonicus","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","NA","95","TL"
"899","Squalus lalannei","Squalidae","Squaliformes","Selachii","offshore","benthic","no","ecto","macropredator","NA","79","TL"
"900","Squalus megalops","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","89","TL"
"901","Squalus melanurus","Squalidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","fish","75","TL"
"902","Squalus mitsukurii","Squalidae","Squaliformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","125","TL"
"903","Squalus montalbani","Squalidae","Squaliformes","Selachii","all","benthic","no","ecto","macropredator","inverts/fish","116","TL"
"904","Squalus nasutus","Squalidae","Squaliformes","Selachii","slope","pelagic","no","ecto","macropredator","inverts/fish","77","TL"
"905","Squalus notocaudatus","Squalidae","Squaliformes","Selachii","slope","pelagic","no","ecto","macropredator","NA","62","TL"
"906","Squalus rancureli","Squalidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","93","TL"
"907","Squalus raoulensis","Squalidae","Squaliformes","Selachii","slope","pelagic","no","ecto","macropredator","inverts/fish","93","TL"
"908","Squalus suckleyi","Squalidae","Squaliformes","Selachii","all","benthopelagic","brackish","ecto","macropredator","inverts/fish","150","TL"
"909","Squatina aculeata","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","188","TL"
"910","Squatina africana","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","122","TL"
"911","Squatina albipunctata","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","130","TL"
"912","Squatina argentina","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","170","TL"
"913","Squatina armata","Squatinidae","Squatiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","103","TL"
"914","Squatina australis","Squatinidae","Squatiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","152","TL"
"915","Squatina californica","Squatinidae","Squatiniformes","Selachii","shelf","benthic","no","ecto","macropredator","fish","175","TL"
"916","Squatina dumeril","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","152","TL"
"917","Squatina formosa","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","fish","150","TL"
"918","Squatina guggenheim","Squatinidae","Squatiniformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish","130","TL"
"919","Squatina japonica","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","200","TL"
"920","Squatina nebulosa","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","200","TL"
"921","Squatina occulta","Squatinidae","Squatiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","131","TL"
"922","Squatina oculata","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","160","TL"
"923","Squatina pseudocellata","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","114","TL"
"924","Squatina squatina","Squatinidae","Squatiniformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish/high verts","244","TL"
"925","Squatina tergocellata","Squatinidae","Squatiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","140","TL"
"926","Squatina tergocellatoides","Squatinidae","Squatiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","100","TL"
"927","Stegostoma fasciatum","Stegostomatidae","Orectolobiformes","Selachii","shelf","benthic","brackish","ecto","macropredator","inverts/fish/high verts","354","TL"
"928","Sutorectus tentaculatus","Orectolobidae","Orectolobiformes","Selachii","shelf","benthic","no","ecto","macropredator","fish","92","TL"
"929","Sympterygia acuta","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","62","TL"
"930","Sympterygia bonapartii","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","88","DW"
"931","Sympterygia brevicaudata","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","55","TL"
"932","Sympterygia lima","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","65","TL"
"933","Taeniura grabata","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","100","DW"
"934","Taeniura lymma","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","35","DW"
"935","Taeniurops meyeni","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","180","DW"
"936","Temera hardwickii","Narkidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","48","TL"
"937","Tetronarce californica","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","fish","137","TL"
"938","Tetronarce formosa","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthopelagic","no","ecto","macropredator","NA","62","TL"
"939","Tetronarce puelcha","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","fish","120","TL"
"940","Tetronarce tokionis","Torpedinidae","Torpediniformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","114","TL"
"941","Tetronarce tremens","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","fish","90","TL"
"942","Torpedo adenensis","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","41","TL"
"943","Torpedo andersoni","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","22","TL"
"944","Torpedo bauchotae","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","60","TL"
"945","Torpedo fuscomaculata","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","65","TL"
"946","Torpedo mackayana","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","40","TL"
"947","Torpedo marmorata","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthic","brackish","ecto","macropredator","inverts/fish","100","TL"
"948","Tetronarce nobiliana","Torpedinidae","Torpediniformes","Batoidea","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","180","TL"
"949","Torpedo panthera","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","60","TL"
"950","Torpedo sinuspersici","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","130","TL"
"951","Torpedo suessii","Torpedinidae","Torpediniformes","Batoidea","NA","benthic","no","ecto","macropredator","NA","40","TL"
"952","Torpedo torpedo","Torpedinidae","Torpediniformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","60","TL"
"953","Triaenodon obesus","Carcharhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","213","TL"
"954","Triakis acutipinna","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","NA","102","TL"
"955","Triakis maculata","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts","240","TL"
"956","Triakis megalopterus","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","208","TL"
"957","Triakis scyllium","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","150","TL"
"958","Triakis semifasciata","Triakidae","Carcharhiniformes","Selachii","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","210","TL"
"959","Trigonognathus kabeyai","Etmopteridae","Squaliformes","Selachii","slope/offshore","benthopelagic","no","ecto","macropredator","inverts/fish","54","TL"
"960","Trygonoptera galba","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","39","TL"
"961","Trygonoptera imitata","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","80","TL"
"962","Trygonoptera mucosa","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","47","TL"
"963","Trygonoptera ovalis","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","61","TL"
"964","Trygonoptera personata","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","55","TL"
"965","Trygonoptera testacea","Urolophidae","Myliobatiformes","Batoidea","all","benthic","brackish","ecto","macropredator","inverts/fish","61","TL"
"966","Trygonorrhina dumerilii","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","146","TL"
"967","Trygonorrhina fasciata","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","120","TL"
"968","Typhlonarke aysoni","Narkidae","Torpediniformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","45","TL"
"969","Urobatis concentricus","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","48","DW"
"970","Urobatis halleri","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","55","DW"
"971","Urobatis jamaicensis","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","70","TL"
"972","Urobatis maculatus","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","42","DW"
"973","Urobatis tumbesensis","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","NA","41","DW"
"974","Urogymnus asperrimus","Dasyatidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","115","DW"
"975","Urolophus armatus","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","17","TL"
"976","Urolophus aurantiacus","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","40","TL"
"977","Urolophus bucculentus","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","89","TL"
"978","Urolophus circularis","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","60","TL"
"979","Urolophus cruciatus","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","50","TL"
"980","Urolophus deforgesi","Urolophidae","Myliobatiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","34","TL"
"981","Urolophus expansus","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","52","TL"
"982","Urolophus flavomosaicus","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","59","TL"
"983","Urolophus gigas","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","80","TL"
"984","Urolophus javanicus","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","34","TL"
"985","Urolophus kapalensis","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","52","TL"
"986","Urolophus lobatus","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","43","TL"
"987","Urolophus mitosis","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","33","TL"
"988","Urolophus neocaledoniensis","Urolophidae","Myliobatiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","37","TL"
"989","Urolophus orarius","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","31","TL"
"990","Urolophus papilio","Urolophidae","Myliobatiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","31","TL"
"991","Urolophus paucimaculatus","Urolophidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","57","TL"
"992","Urolophus piperatus","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","48","TL"
"993","Urolophus sufflavus","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","42","TL"
"994","Urolophus viridis","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","51","TL"
"995","Urolophus westraliensis","Urolophidae","Myliobatiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","36","TL"
"996","Urotrygon aspidura","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","42","TL"
"997","Urotrygon chilensis","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","43","DW"
"998","Urotrygon cimar","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","38","TL"
"999","Urotrygon microphthalmum","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts","30","DW"
"1000","Urotrygon munda","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","25","DW"
"1001","Urotrygon nana","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","26","DW"
"1002","Urotrygon reticulata","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","24","DW"
"1003","Urotrygon rogersi","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","46","DW"
"1004","Urotrygon simulatrix","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","27","DW"
"1005","Urotrygon venezuelae","Urotrygonidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","29","TL"
"1006","Zameus ichiharai","Somniosidae","Squaliformes","Selachii","slope","benthopelagic","no","ecto","macropredator","NA","151","TL"
"1007","Zameus squamulosus","Somniosidae","Squaliformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","84","TL"
"1008","Zanobatus schoenleinii","Zanobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","60","TL"
"1009","Zapteryx brevirostris","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","66","TL"
"1010","Zapteryx exasperata","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","fish","97","TL"
"1011","Zapteryx xyster","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","78","TL"
"1012","Zearaja argentinensis","Rajidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","94","TL"
"1013","Zearaja chilensis","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","168","TL"
"1014","Zearaja maugeana","Rajidae","Rajiformes","Batoidea","shelf","benthic","freshwater","ecto","macropredator","NA","84","TL"
"1015","Zearaja nasuta","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","108","TL"
